Input size,CPU (ms),GPU Global (ms),GPU Shared (ms),GPU cuBLAS (ms)
64,0.111,0.103,0.027,0.096
128,0.836,0.369,0.05,0.112
192,2.259,1.213,0.102,0.109
256,4.945,2.927,0.204,0.135
320,9.36,5.216,0.369,0.145
384,17.987,8.828,0.628,0.191
448,27.787,14.03,0.977,0.248
512,34.959,20.618,1.444,0.328
576,87.83,29.437,2.029,0.384
640,73.167,39.983,2.862,0.397
704,96.255,53.339,3.828,0.539
768,115.042,68.816,4.993,0.599
832,153.276,87.7,6.288,0.784
896,185.367,106.679,7.688,0.837
960,222.308,131.237,9.467,1.25
1024,262.082,146.451,10.12,1.229
1088,327.626,158.038,11.409,1.209
1152,306.799,165.806,11.297,1.334
1216,445.99,183.638,13.271,1.496
1280,521.431,206.259,14.879,2.037
1344,445.462,238.43,17.21,2.109
1408,516.824,274.847,19.764,2.225
1472,604.608,314.031,22.63,2.314
1536,655.844,356.869,25.645,2.443
1600,940.093,403.73,28.983,2.737
1664,830.017,454.293,32.649,3.169
1728,1082.234,508.825,36.509,3.684
1792,1233.235,567.723,40.715,4.138
1856,1173.705,630.017,45.228,4.325
1920,1464.406,699.056,50.03,4.497
1984,1578.299,771.414,55.197,5.192
2048,1704.813,849.023,60.733,6.124
2112,1709.271,929.52,66.618,6.453
2176,1840.765,1017.234,72.873,6.695
2240,2245.386,1205.73,79.47,10.74
2304,2198.374,1204.593,86.431,8.666
2368,2427.92,1310.167,93.9,8.848
2432,2615.906,1416.406,101.747,9.23
2496,2837.402,1536.026,109.926,9.849
2560,3062.968,1651.094,118.572,10.58
2624,3762.38,1784.865,127.728,11.338
2688,4273.594,1914.025,137.328,12.263
2752,5007.871,2056.326,147.462,13.235
2816,5430.005,2363.389,157.737,20.701
2880,6138.978,2357.351,168.789,15.219
2944,6795.569,2517.127,180.364,15.593
3008,7425.78,2680.675,192.38,16.865
3072,8144.074,2860.678,204.886,18.496
3136,9008.362,3216.435,217.915,28.468
3200,9604.253,3232.736,231.546,20.291
3264,10475.225,3423.569,245.748,21.666
3328,11085.409,3796.524,260.189,33.966
3392,11782.308,3844.832,275.71,23.963
3456,12691.309,4069.713,291.624,25.04
3520,13654.592,4468.428,307.903,40.166
3584,14433.331,4533.083,324.992,27.834
3648,15317.097,4936.036,342.642,45.128
3712,16254.315,5032.76,360.834,30.987
3776,17130.384,5473.523,380.317,49.713
3840,18072.569,5572.006,399.686,34.938
3904,19121.19,6028.758,420.0,54.564
3968,20144.77,6149.772,441.057,38.142
4032,21284.635,6628.755,462.265,59.98
4096,22217.352,6861.468,485.481,61.977
